Initial Solution Percentage,Cooling Rate,Min Temp,Max Iterations,Mk,Best Value,Weight,Total Items Selected
5,0.95,0.01,100,10,20940.0,2492.9,40
5,0.99,0.01,100,10,17040.7,2491.7,35
5,0.999,0.01,100,10,15588.8,2456.5,34
5,0.95,0.01,100,25,18084.9,2494.8999999999996,33
5,0.99,0.01,100,25,17392.300000000003,2494.0,37
5,0.999,0.01,100,25,16548.199999999997,2452.3999999999996,37
5,0.95,0.01,100,50,18950.1,2499.5,33
5,0.99,0.01,100,50,18830.700000000004,2492.5,40
5,0.999,0.01,100,50,15726.099999999999,2493.5999999999995,34
5,0.95,0.01,300,10,15993.8,2492.8,33
5,0.99,0.01,300,10,20211.7,2489.8,36
5,0.999,0.01,300,10,19797.4,2489.8,40
5,0.95,0.01,300,25,16627.4,2498.3,33
5,0.99,0.01,300,25,22529.4,2499.0,41
5,0.999,0.01,300,25,17065.6,2498.0,32
5,0.95,0.01,300,50,17965.6,2498.8,37
5,0.99,0.01,300,50,23007.300000000003,2495.2,42
5,0.999,0.01,300,50,20064.1,2495.1,44
5,0.95,0.01,500,10,19546.0,2486.6,37
5,0.99,0.01,500,10,21421.4,2481.1,41
5,0.999,0.01,500,10,19070.5,2446.6,37
5,0.95,0.01,500,25,16229.7,2482.5,31
5,0.99,0.01,500,25,23328.800000000003,2485.6,43
5,0.999,0.01,500,25,21049.0,2492.5,41
5,0.95,0.01,500,50,19103.199999999997,2477.0,36
5,0.99,0.01,500,50,23870.2,2491.6000000000004,41
5,0.999,0.01,500,50,20729.100000000002,2453.9,38
5,0.95,0.01,700,10,17613.9,2498.2,32
5,0.99,0.01,700,10,18825.1,2495.7,38
5,0.999,0.01,700,10,18461.6,2500.0,38
5,0.95,0.01,700,25,17158.199999999997,2487.2000000000003,34
5,0.99,0.01,700,25,22962.300000000003,2489.7999999999997,42
5,0.999,0.01,700,25,20368.4,2498.2,41
5,0.95,0.01,700,50,19038.5,2499.1000000000004,35
5,0.99,0.01,700,50,23816.1,2499.7000000000003,44
5,0.999,0.01,700,50,19847.9,2497.7,39
5,0.95,0.01,900,10,14336.400000000001,2499.3999999999996,27
5,0.99,0.01,900,10,22702.100000000002,2496.6000000000004,41
5,0.999,0.01,900,10,19857.0,2441.9,39
5,0.95,0.01,900,25,19703.1,2493.4,36
5,0.99,0.01,900,25,24634.1,2480.7,43
5,0.999,0.01,900,25,19741.9,2489.4,38
5,0.95,0.01,900,50,18854.3,2480.3,35
5,0.99,0.01,900,50,24591.399999999998,2499.5,41
5,0.999,0.01,900,50,19672.3,2485.9,39
5,0.95,0.1,100,10,14357.600000000002,2491.8,30
5,0.99,0.1,100,10,19256.3,2490.2,35
5,0.999,0.1,100,10,16861.300000000003,2450.0,34
5,0.95,0.1,100,25,19961.7,2492.2,40
5,0.99,0.1,100,25,16502.5,2476.2,34
5,0.999,0.1,100,25,19198.9,2484.5,36
5,0.95,0.1,100,50,20544.8,2480.1,35
5,0.99,0.1,100,50,15880.4,2458.0,33
5,0.999,0.1,100,50,16131.1,2491.6000000000004,34
5,0.95,0.1,300,10,16281.0,2494.2,32
5,0.99,0.1,300,10,20892.9,2491.4000000000005,38
5,0.999,0.1,300,10,16980.5,2434.2,37
5,0.95,0.1,300,25,18894.5,2488.9,32
5,0.99,0.1,300,25,23061.8,2478.9,45
5,0.999,0.1,300,25,20459.600000000002,2498.4,36
5,0.95,0.1,300,50,18863.2,2499.6000000000004,36
5,0.99,0.1,300,50,23381.300000000003,2487.7,40
5,0.999,0.1,300,50,18545.800000000003,2488.7,42
5,0.95,0.1,500,10,17225.3,2495.8,36
5,0.99,0.1,500,10,22627.1,2497.3,43
5,0.999,0.1,500,10,20638.300000000003,2498.8,41
5,0.95,0.1,500,25,18147.8,2477.7999999999997,35
5,0.99,0.1,500,25,23043.300000000003,2494.3,39
5,0.999,0.1,500,25,18883.4,2490.6,42
5,0.95,0.1,500,50,19449.6,2496.3,35
5,0.99,0.1,500,50,23647.4,2495.4,39
5,0.999,0.1,500,50,20690.0,2499.2000000000003,40
5,0.95,0.1,700,10,14499.2,2493.6,29
5,0.99,0.1,700,10,21388.800000000003,2496.2,40
5,0.999,0.1,700,10,19181.4,2447.5,34
